CODE,UZ,RU,EN
1726269,Mirzo Ulug‘bek tumani,Мирзо-Улугбекский район,
1726273,Mirobod tumani,Мирабадский район,
1726277,Shayxontoxur tumani,Шайхантахурский район,
1726280,Olmazor tumani,Алмазарский район,
1726283,Sirg‘ali tumani,Сергелийский район,
1726287,Yakkasaroy tumani,Яккасарайский район,
1726290,Yashnobod tumani,Яшнободский район,
1726292,Yangihayot tumani,Янгихаётский район,
1726294,Chilonzor tumani,Чиланзарский район,
1727200,Toshkent viloyatining tumanlari,Районы Ташкентской области,
1727212,Ohangaron tumani (Markaz -Ohangaron sh.),Ахангаранский район (Центр -г. Ахангаран),
1727220,Bekobod tumani (Markaz -Zafar shaharchasi),Бекабадский район (Центр -гп Зафар),
1727224,Bo‘stonliq tumani (Markaz -G‘azalkent sh.),Бостанлыкский район (Центр -г. Газалкент),
1727228,Bo‘ka tumani (Markaz -Bo‘ka sh.),Букинский район (Центр -г. Бука),
1727233,Quyichirchiq tumani (Markaz -Do‘stobod sh.),Куйичирчикский район (Центр -г. Дустобод),
1727237,Zangiota tumani (Markaz -Eshonguzar shaharchasi),Зангиатинский район (Центр -гп Эшангузар),
1727239,Yuqorichirchiq tumani (Markaz -Yangibozor shaharchasi),Юкоричирчикский район (Центр -гп Янгибазар),
1727248,Qibray tumani (Markaz -Qibray shaharchasi),Кибрайский район (Центр -гп Кибрай),
1727249,Parkent tumani (Markaz -Parkent sh.),Паркентский район (Центр -г. Паркент),
1727250,Pskent tumani (Markaz -Pskent sh.),Пскентский район (Центр -г. Пскент),
1727253,O‘rtachirchiq tumani (Markaz -Nurafshon sh.),Уртачирчикский район (Центр -г. Нурафшон),
1727256,Chinoz tumani (Markaz -Chinoz sh.),Чиназский район (Центр -г. Чиназ),
1727259,Yangiyo‘l tumani (Markaz -Yangiyo‘l sh.),Янгиюльский район (Центр -г.Янгиюль),
1727265,Toshkent tumani (Markaz -Keles sh.),Ташкентский район (Центр -г.Келес),
